rule;support;confidence;lift;count
{06324611000171} => {20483193000196};0.01255028;0.5208655;7.684770;337
{06324611000171} => {10596399000179};0.01273648;0.5285935;6.165853;342
{06324611000171} => {00761025000108};0.01299717;0.5394127;5.750023;349
{12957821000108} => {20483193000196};0.01843438;0.5409836;7.981589;495
{10752963000103} => {16403724000116};0.01832266;0.5610034;10.076297;492
{10752963000103} => {00761025000108};0.02167436;0.6636260;7.074111;582
{14676091000194} => {10596399000179};0.02070609;0.6472643;7.550104;556
{10942831000136} => {20483193000196};0.02595710;0.7207859;10.634365;697
{08658622000113} => {00761025000108};0.02212126;0.5129534;5.467973;594
{19225144000174} => {00761025000108};0.02338746;0.5286195;5.634971;628
{15724019000158} => {06177718000134};0.02763295;0.6654709;12.357692;742
{06177718000134} => {15724019000158};0.02763295;0.5131397;12.357692;742
{15724019000158} => {16403724000116};0.02543572;0.6125561;11.002244;683
{15724019000158} => {00761025000108};0.02208402;0.5318386;5.669285;593
{06177718000134} => {16403724000116};0.03776255;0.7012448;12.595201;1014
{16403724000116} => {06177718000134};0.03776255;0.6782609;12.595201;1014
{16403724000116} => {00761025000108};0.02841502;0.5103679;5.440412;763
{13440815000133,55741110000104} => {17930162000121};0.01005512;0.9712230;47.764250;270
{17930162000121,55741110000104} => {13440815000133};0.01005512;0.9854015;48.909427;270
{13440815000133,17930162000121} => {55741110000104};0.01005512;0.5065666;18.233682;270
{10752963000103,13303039000120} => {00761025000108};0.01005512;0.7941176;8.465124;270
{00761025000108,13303039000120} => {10752963000103};0.01005512;0.7758621;23.755357;270
{06177718000134,08459500000106} => {16403724000116};0.01113511;0.8470255;15.213598;299
{08459500000106,16403724000116} => {06177718000134};0.01113511;0.8191781;15.212012;299
{10986234000103,15724019000158} => {06177718000134};0.01262476;0.8052257;14.952918;339
{06177718000134,10986234000103} => {15724019000158};0.01262476;0.7228145;17.407188;339
{10986234000103,15724019000158} => {16403724000116};0.01124683;0.7173397;12.884284;302
{10986234000103,16403724000116} => {15724019000158};0.01124683;0.7277108;17.525105;302
{06177718000134,10986234000103} => {16403724000116};0.01366751;0.7825160;14.054929;367
{10986234000103,16403724000116} => {06177718000134};0.01366751;0.8843373;16.422010;367
{06177718000134,10278886000193} => {16403724000116};0.01173097;0.7875000;14.144448;315
{10278886000193,16403724000116} => {06177718000134};0.01173097;0.7994924;14.846452;315
{12957821000108,20483193000196} => {10596399000179};0.01072546;0.5818182;6.786699;288
{10596399000179,12957821000108} => {20483193000196};0.01072546;0.7254408;10.703042;288
{10752963000103,19225144000174} => {00761025000108};0.01202890;0.7654028;8.159030;323
{00761025000108,10752963000103} => {19225144000174};0.01202890;0.5549828;12.544107;323
{00761025000108,19225144000174} => {10752963000103};0.01202890;0.5143312;15.747801;323
{10752963000103,15724019000158} => {06177718000134};0.01072546;0.8158640;15.150471;288
{06177718000134,10752963000103} => {15724019000158};0.01072546;0.6605505;15.907714;288
{10752963000103,15724019000158} => {16403724000116};0.01139580;0.8668555;15.569769;306
{10752963000103,16403724000116} => {15724019000158};0.01139580;0.6219512;14.978147;306
{06177718000134,10752963000103} => {16403724000116};0.01400268;0.8623853;15.489479;376
{10752963000103,16403724000116} => {06177718000134};0.01400268;0.7642276;14.191591;376
{06177718000134,10752963000103} => {00761025000108};0.01068822;0.6582569;7.016877;287
{10752963000103,16403724000116} => {00761025000108};0.01243855;0.6788618;7.236521;334
